Int_No,Intersection (rue 1),Intersection (rue 2),Arrond.,Traverse sonore,Fait,longitude,latitude,X,Y
452,Jacques-Cartier (pl),Notre-Dame,Ville-Marie,Ouest (annulé),Non,-73.5540154231674,45.5082455762988,300579.2975,5040926.4125
461,Place d'Armes / Saint-Urbain,Saint-Antoine,Ville-Marie,Ouest,OUI,-73.5582698095499,45.5057067171107,300246.66,5040644.5
461,Place d'Armes / Saint-Urbain,Saint-Antoine,Ville-Marie,Sud,OUI,-73.5582698095499,45.5057067171107,300246.66,5040644.5
467,Saint-Urbain,Viger,Ville-Marie,Ouest,OUI,-73.5597912434203,45.5064129281874,300127.83,5040723.069
472,Amherst,Ontario,Ville-Marie,Sud,OUI,-73.5629537499226,45.5201609408632,299881.905,5042251.084
477,Berri,Cherrier,Plateau Mont-Royal,Ouest,OUI,-73.5692471005538,45.5190793219044,299390.15,5042131.2875
480,Berri,Roy,Plateau Mont-Royal,Ouest,OUI,-73.5716549682465,45.5202278374316,299202.152,5042259.088
480,Berri,Roy,Plateau Mont-Royal,Sud,OUI,-73.5716549682465,45.5202278374316,299202.152,5042259.088
481,Berri,Sainte-Catherine,Ville-Marie,Nord,OUI,-73.5596696103746,45.5146421264866,300138.014,5041637.578
482,Berri,Sherbrooke,Plateau Mont-Royal,Est,Non,-73.5669732432028,45.5180005090377,299567.6925,5042011.2475
486,Cherrier,Saint-Hubert,Plateau Mont-Royal,Ouest,OUI,-73.5685049101716,45.51985178301,299448.206,5042217.082
492,Maisonneuve,Saint-André,Ville-Marie,Ouest,Oui,-73.5595217380366,45.5170306876177,300149.764,5041903.012
501,Rigaud,Saint-Denis,Plateau Mont-Royal,Nord,OUI,-73.5686940952133,45.5174708532352,299433.2,5041952.5
518,Bernard,Saint-Laurent,Plateau Mont-Royal,Nord,OUI,-73.6022519043246,45.5273559336956,296812.859,5043053.828
520,Bullion,Saint-Joseph,Plateau Mont-Royal,Est,OUI,-73.5899724485948,45.5239135182237,297771.608,5042670.121
548,Prince-Arthur,Saint-Laurent,Plateau Mont-Royal,Sud,OUI,-73.5725682872562,45.5138900059273,299130.165,5041554.824
552,Saint-Cuthbert,Saint-Urbain,Plateau Mont-Royal,Nord,OUI,-73.5782898972155,45.5147602076767,298683.224,5041651.95
565,Brébeuf,Laurier,Plateau Mont-Royal,Est,OUI,-73.5847595287996,45.5324079636206,298179.823,5043613.674
573,Duluth,Parc-La Fontaine,Plateau Mont-Royal,Sud,OUI,-73.5723686419313,45.5245691199136,299146.833,5042741.5885
574,Duluth,Saint-Denis,Plateau Mont-Royal,Nord,OUI,-73.5758720106379,45.5207409387962,298872.761,5042316.412
577,Garnier,Saint-Joseph,Plateau Mont-Royal,Ouest,OUI,-73.5814507536981,45.533146771462,298438.3395,5043695.511
578,Gilford,Lanaudière,Plateau Mont-Royal,Est (Démantelé),NON,,,,
584,Calixa-Lavallée,Lanaudière/Rachel,Plateau Mont-Royal,Est,OUI,-73.5719974594009,45.5279170403558,299176.162,5043113.62
592,Laurier,Resther,Plateau Mont-Royal,Ouest (annulé),Non,-73.5881404004435,45.5285336150508,297915.286,5043183.398
594,Laurier,Saint-Hubert,Plateau Mont-Royal,Ouest,OUI,-73.5877875319458,45.528962992986,297942.901,5043231.085
595,Marie-Anne,Saint-Denis,Plateau Mont-Royal,Nord,OUI,-73.5805733152349,45.5228949780842,298505.728,5042556.15
629,Lorimier,Sainte-Catherine,Ville-Marie,Sud,OUI,-73.5503636400893,45.5248239292382,300865.799,5042768.592
644,Bercy,Ontario,Ville-Marie,Ouest,OUI,-73.5514352966551,45.534690274216,300782.788,5043865.102
659,Havre,Ontario,Ville-Marie,Sud,OUI,-73.5522139692601,45.5335291207852,300721.888,5043736.101
681,Bordeaux,Rachel,Plateau Mont-Royal,Est,OUI,-73.5679541334766,45.5321620409914,299492.392,5043585.096
685,Champlain,Émile-Duployé/Sherbrooke,Ville-Marie,Est,OUI,-73.564224626099,45.5270218357066,299783.231,5043013.62
689,Fullum,Saint-Joseph,Plateau Mont-Royal,Ouest,OUI,-73.5750821430554,45.5397819357815,298936.4455,5044432.3995
696,Laurier,Papineau inter. Nord,Plateau Mont-Royal,Sud,OUI,-73.5813389190827,45.5360397314939,298447.4,5044017
724,Aird,Hochelaga,Mercier - Hochelaga - Maisonneuve,Ouest (annulé),Non,-73.5447358425879,45.5578847703283,301307.467,5046442.424
729,Davidson,Hochelaga,Mercier - Hochelaga - Maisonneuve,Ouest (Est demandé),OUI,-73.5525741322317,45.5449209858915,300694.587,5045002.111
731,29 e Avenue,Beaubien,Rosemont - Petite-Patrie,Ouest,OUI,-73.5761975045946,45.5665933904395,298852.17,5047412.078
758,Bourbonnière,Ontario,Mercier - Hochelaga - Maisonneuve,Nord,NON,-73.5429809292328,45.5479744664238,301443.8835,5045341.0025
758,Bourbonnière,Ontario,Mercier - Hochelaga - Maisonneuve,Ouest,NON,-73.5429809292328,45.5479744664238,301443.8835,5045341.0025
770,Létourneux,Ontario,Mercier - Hochelaga - Maisonneuve,Ouest,NON,-73.5397939778141,45.5525127854258,301692.983,5045845.224
778,Ontario,Pie-IX,Mercier - Hochelaga - Maisonneuve,Est (annulé),Non,-73.5412256654148,45.5502999604612,301581.074,5045599.366
778,Ontario,Pie-IX,Mercier - Hochelaga - Maisonneuve,Nord,Non,-73.5412256654148,45.5502999604612,301581.074,5045599.366
778,Ontario,Pie-IX,Mercier - Hochelaga - Maisonneuve,Sud,Non,-73.5412256654148,45.5502999604612,301581.074,5045599.366
791,Charlemagne,Sherbrooke,Rosemont - Petite-Patrie,Est,OUI,-73.5547058266402,45.5531052869317,300528.747,5045911.755
793,Davidson,Sherbrooke,Rosemont - Petite-Patrie,Est,OUI,-73.5560263895468,45.5459541476728,300425.087,5045117.11
797,Pie-IX,Pierre-de-Coubertin,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.5516938286316,45.5536640159765,300763.954,5045973.6915
797,Pie-IX,Pierre-de-Coubertin,Mercier - Hochelaga - Maisonneuve,Nord,Non,-73.5516938286316,45.5536640159765,300763.954,5045973.6915
798,Pie-IX,Sherbrooke,Rosemont - Petite-Patrie,Est,Non,-73.5545793943468,45.5545981849117,300538.73125,5046077.65625
798,Pie-IX,Sherbrooke,Rosemont - Petite-Patrie,Ouest,Non,-73.5545793943468,45.5545981849117,300538.73125,5046077.65625
803,Sherbrooke,Jardin Botanique,Rosemont - Petite-Patrie,Ouest,OUI,-73.5543507322004,45.5564055557545,300556.72,5046278.5
805,Sherbrooke,Viau,Rosemont - Petite-Patrie,Nord,OUI,-73.5544242762683,45.5653413233674,300551.65175,5047271.55025
808,5 e Avenue,Masson,Rosemont - Petite-Patrie,Est,OUI,-73.5752507428738,45.5475312312543,298924.086,5045293.601
809,5 e Avenue,Rosemont,Rosemont - Petite-Patrie,Est,OUI,-73.5832750630379,45.5498966858906,298297.784,5045557.096
811,8 e Avenue,Masson,Rosemont - Petite-Patrie,Est,OUI,-73.5742214195469,45.549193658564,299004.631,5045478.274
827,26 e Avenue,Beaubien,Rosemont - Petite-Patrie,Ouest,OUI,-73.5776865308584,45.5649252127245,298735.76,5047226.802
829,28 e Avenue,Rosemont,Rosemont - Petite-Patrie,Est,OUI,-73.5707424398793,45.5642070273827,299277.748,5047146.4875
831,31 e Avenue,Saint-Zotique,Rosemont - Petite-Patrie,Ouest,OUI,-73.5789978905925,45.5689213892981,298633.832,5047671.004
834,30 e Avenue,Bélanger,Rosemont - Petite-Patrie,Ouest,OUI,-73.5833376580003,45.5695352939962,298295.163,5047739.571
842,Beaubien,Pie-IX,Rosemont - Petite-Patrie,Sud,OUI,-73.5796933814816,45.5625877952506,298578.8465,5046967.1945
842,Beaubien,Pie-IX,Rosemont - Petite-Patrie,Nord,Non,-73.5796933814816,45.5625877952506,298578.8465,5046967.1945
845,Bélair,Saint-Michel,Villeray - Saint-Michel - Parc-Extension,Sud,OUI,-73.5953143518035,45.5577763490854,297358.782,5046433.8205
846,Bélanger,Saint-Michel,Villeray - Saint-Michel - Parc-Extension,Nord,OUI,-73.5939672800652,45.5573593345339,297463.894,5046387.353
